iter	Passed	Remaining
731	94673	60529
732	94815	60407
733	94938	60274
734	95058	60138
735	95185	60008
736	95329	59888
737	95476	59769
738	95614	59645
739	95727	59506
740	95875	59388
741	96037	59279
742	96173	59153
743	96320	59035
744	96475	58921
745	96628	58805
746	96741	58666
747	96883	58544
748	97027	58424
749	97173	58303
750	97316	58182
751	97452	58056
752	97588	57931
753	97720	57802
754	97856	57676
755	97989	57549
756	98132	57427
757	98280	57308
758	98424	57187
759	98566	57064
760	98708	56942
761	98852	56821
762	98994	56697
763	99139	56576
764	99277	56451
765	99420	56329
766	99575	56214
767	99692	56077
768	99835	55954
769	99985	55836
770	100124	55711
771	100244	55575
772	100385	55452
773	100537	55334
774	100672	55207
775	100800	55076
776	100950	54957
777	101099	54838
778	101241	54714
779	101385	54592
780	101527	54468
781	101663	54341
782	101816	54224
783	101953	54097
784	102073	53962
785	102191	53825
786	102328	53699
787	102452	53566
788	102583	53436
789	102701	53300
790	102840	53175
791	102974	53047
792	103113	52921
793	103248	52794
794	103397	52673
795	103531	52545
796	103655	52413
797	103812	52296
798	103957	52174
799	104099	52049
800	104218	51914
801	104361	51790
802	104499	51663
803	104620	51529
804	104749	51398
805	104900	51278
806	105023	51145
807	105169	51023
808	105303	50894
809	105445	50770
810	105569	50637
811	105689	50501
812	105832	50377
813	105978	50255
814	106125	50132
815	106256	50002
816	106405	49881
817	106548	49757
818	106689	49631
819	106819	49501
820	106954	49373
821	107068	49235
822	107222	49116
823	107365	48991
824	107514	48870
825	107665	48749
826	107819	48629
827	107963	48505
828	108123	48388
829	108254	48257
830	108417	48142
831	108552	48013
832	108690	47886
833	108824	47757
834	108969	47633
835	109112	47508
836	109254	47382
837	109385	47252
838	109523	47125
839	109651	46993
840	109786	46864
841	109927	46738
842	110052	46605
843	110206	46485
844	110350	46360
845	110496	46236
846	110625	46104
847	110756	45974
848	110873	45838
849	111010	45710
850	111158	45586
851	111284	45454
852	111413	45323
853	111549	45194
854	111693	45069
855	111814	44934
856	111950	44806
857	112085	44677
858	112231	44552
859	112372	44426
860	112518	44301
861	112656	44174
862	112789	44044
863	112951	43925
864	113123	43810
865	113275	43688
866	113398	43554
867	113559	43435
868	113695	43306
869	113839	43180
870	113956	43044
871	114066	42905
872	114197	42775
873	114321	42641
874	114475	42519
875	114629	42397
876	114774	42271
877	114925	42147
878	115040	42011
879	115184	41885
880	115312	41753
881	115459	41628
882	115599	41500
883	115760	41380
884	115898	41251
885	116016	41116
886	116162	40990
887	116302	40862
888	116443	40735
889	116590	40610
890	116748	40488
891	116884	40359
892	117017	40228
893	117150	40098
894	117277	39966
895	117407	39834
896	117526	39699
897	117672	39573
898	117811	39445
899	117950	39316
900	118092	39189
901	118237	39062
902	118369	38932
903	118502	38801
904	118654	38677
905	118794	38549
906	118936	38421
907	119091	38298
908	119240	38172
909	119385	38045
910	119518	37915
911	119647	37783
912	119791	37656
913	119937	37529
914	120081	37402
915	120226	37275
916	120349	37141
917	120493	37014
918	120645	36889
919	120756	36752
920	120909	36627
921	121046	36497
922	121187	36369
923	121328	36240
924	121475	36114
925	121618	35986
926	121753	35856
927	121892	35727
928	122010	35591
929	122153	35463
930	122282	35331
931	122430	35205
932	122578	35078
933	122696	34943
934	122835	34814
935	122963	34681
936	123098	34551
937	123240	34423
938	123378	34293
939	123536	34169
940	123662	34036
941	123793	33905
942	123942	33778
943	124087	33650
944	124237	33524
945	124382	33396
946	124522	33267
947	124645	33133
948	124786	33004
949	124905	32869
950	125046	32740
951	125170	32607
952	125299	32475
953	125446	32347
954	125569	32214
955	125718	32087
956	125827	31949
957	125977	31823
958	126119	31694
959	126242	31560
960	126379	31430
961	126500	31296
962	126649	31169
963	126775	31036
964	126893	30901
965	127042	30774
966	127170	30641
967	127321	30515
968	127462	30385
969	127600	30255
970	127723	30122
971	127834	29985
972	127977	29856
973	128117	29727
974	128262	29598
975	128412	29471
976	128569	29346
977	128681	29210
978	128833	29082
979	128959	28950
980	129106	28821
981	129223	28687
982	129346	28553
983	129492	28425
984	129608	28290
985	129750	28160
986	129895	28032
987	130014	27897
988	130136	27764
989	130267	27632
990	130391	27499
991	130526	27368
992	130653	27236
993	130801	27107
994	130950	26979
995	131096	26851
996	131241	26722
997	131385	26593
998	131524	26462
999	131673	26334
1000	131794	26200
1001	131931	26070
1002	132063	25938
1003	132189	25805
1004	132321	25674
1005	132449	25542
1006	132610	25415
1007	132733	25282
1008	132874	25152
1009	133004	25020
1010	133127	24887
1011	133261	24756
1012	133399	24625
1013	133537	24495
1014	133691	24367
1015	133828	24236
1016	133954	24103
1017	134097	23974
1018	134213	23839
1019	134361	23710
1020	134499	23580
1021	134647	23451
1022	134773	23318
1023	134911	23187
1024	135058	23058
1025	135196	22928
1026	135313	22793
1027	135453	22663
1028	135571	22529
1029	135711	22398
1030	135864	22270
1031	135978	22135
1032	136141	22009
1033	136263	21875
1034	136409	21746
1035	136529	21612
1036	136654	21479
1037	136797	21349
1038	136936	21219
1039	137034	21082
1040	137169	20950
1041	137323	20822
1042	137461	20691
1043	137615	20563
1044	137747	20431
1045	137904	20303
1046	138051	20173
1047	138188	20042
1048	138318	19910
1049	138427	19775
1050	138568	19644
1051	138686	19510
1052	138811	19378
1053	138931	19244
1054	139095	19117
1055	139242	18987
1056	139387	18857
1057	139504	18723
1058	139628	18590
1059	139772	18460
1060	139923	18331
1061	140066	18200
1062	140205	18069
1063	140364	17941
1064	140477	17806
1065	140599	17673
1066	140735	17542
1067	140868	17410
1068	141021	17281
1069	141168	17151
1070	141288	17017
1071	141435	16887
1072	141568	16755
1073	141706	16624
1074	141832	16492
1075	141959	16359
1076	142109	16229
1077	142249	16098
1078	142398	15968
1079	142536	15837
1080	142689	15707
1081	142832	15576
1082	142980	15446
1083	143128	15316
1084	143255	15183
1085	143370	15049
1086	143487	14916
1087	143639	14786
1088	143748	14652
1089	143869	14518
1090	144007	14387
1091	144124	14254
1092	144272	14123
1093	144436	13994
1094	144556	13861
1095	144704	13731
1096	144854	13600
1097	144974	13467
1098	145094	13334
1099	145235	13203
1100	145387	13073
1101	145533	12942
1102	145658	12809
1103	145789	12677
1104	145940	12546
1105	146067	12414
1106	146220	12284
1107	146362	12152
1108	146497	12020
1109	146630	11888
1110	146768	11757
1111	146901	11625
1112	147023	11492
1113	147168	11361
1114	147291	11228
1115	147409	11095
1116	147561	10964
1117	147689	10832
1118	147824	10700
1119	147963	10568
1120	148100	10437
1121	148242	10305
1122	148361	10172
1123	148484	10039
1124	148634	9908
1125	148753	9775
1126	148882	9643
1127	149013	9511
1128	149144	9379
1129	149272	9246
1130	149391	9114
1131	149531	8982
